fips,unemp
27109,3.6
27111,5.1
27113,2.8
27115,6.0
27117,3.0
27119,3.6
27121,0.9
27123,4.7
27125,1.5
27127,1.9
27129,2.5
27131,4.6
27133,2.6
27135,4.2
27137,4.5
27139,3.0
27141,3.3
27143,3.9
27145,4.3
27147,3.1
27149,1.5
27151,4.0
27153,4.5
27155,4.9
27157,2.2
27159,5.8
27161,4.0
27163,3.3
27165,5.5
27167,4.7
27169,3.0
27171,2.1
27173,3.4
28001,8.1
28003,5.8
28005,6.6
28007,6.0
28009,2.7
28011,7.5
28013,3.7
28015,2.6
28017,4.0
28019,8.3
28021,8.7
28023,7.2
28025,6.7
28027,10.1
28029,6.3
28031,4.7
28033,3.7
28035,6.2
28037,4.3
28039,8.5
28041,10.6
28043,4.4
28045,5.3
28047,7.6
28049,7.7
28051,8.8
28053,15.8
28055,8.2
28057,2.9
28059,7.4
28061,4.0
28063,5.0
28065,8.3
28067,3.6
28069,11.0
28071,1.8
28073,5.2
28075,5.6
28077,11.7
28079,6.7
28081,5.1
28083,11.7
28085,3.8
28087,6.1
28089,4.4
28091,9.0
28093,4.9
28095,5.8
28097,4.8
28099,8.1
28101,3.5
28103,7.2
28105,6.3
28107,8.8
28109,5.7
28111,6.2
28113,5.9
28115,3.2
28117,3.5
28119,11.9
28121,4.2
28123,4.4
28125,10.5
28127,5.2
28129,4.4
28131,8.2
28133,10.9
28135,10.2
28137,5.4
28139,5.3
28141,3.1
28143,13.1
28145,3.9
28147,6.0
28149,5.5
28151,8.9
28153,7.9
28155,6.8
28157,7.5
28159,7.9
28161,6.7
28163,9.0
29001,4.9
29003,4.0
29005,2.3
29007,4.1
29009,4.1
29011,4.1
29013,6.1
29015,3.9
29017,4.9
29019,3.7
29021,4.5
29023,4.9
29025,4.5
29027,5.5
29029,4.8
29031,2.9
29033,5.2
29035,2.9
29037,4.6
29039,2.5
29041,3.2
29043,3.6
29045,5.8
29047,3.9
29049,4.4
29051,3.0
29053,4.5
29055,5.4
29057,4.3
29059,4.0
29061,1.8
29063,2.3
29065,4.2
29067,5.3
29069,4.7
29071,4.4
29073,2.9
29075,2.7
29077,3.5
29079,2.8
29081,3.3
29083,5.5
29085,12.1
29087,2.1
29089,4.1
29091,5.0
29093,3.3
29095,4.8
29097,4.1
29099,3.6
29101,4.9
29103,4.1
29105,5.5
29107,2.2
29109,5.0
29111,6.0
29113,3.2
29115,2.6
29117,2.8
29119,7.2
29121,3.5
29123,6.9
29125,4.5
29127,3.5
29129,2.3
29131,5.2
29133,3.8
29135,2.5
29137,1.6
29139,2.8
29141,3.5
29143,3.4
29145,4.8
29147,2.9
29149,4.1
29151,1.8
29153,5.7
29155,9.7
29157,4.8
29159,4.0
29161,4.4
29163,4.8
29165,3.5
29167,3.5
29169,5.0
29171,3.8
29173,3.9
29175,4.4
29177,2.1
29179,10.6
29181,4.6
29183,2.8
29185,2.5
29186,4.6
29187,4.9
29189,4.2
29195,2.5
29197,4.7
29199,0.8
29201,3.2
29203,3.0
29205,1.0
29207,3.7
29209,7.2
29211,2.4
29213,4.5
29215,4.6
29217,3.9
29219,3.8
29221,3.8
29223,7.7
29225,4.2
29227,1.2
29229,4.1
29510,5.0
30001,2.7
30003,13.7
30005,14.2
30007,4.3
30009,5.0
30011,3.6
30013,3.0
30015,3.2
30017,2.7
30019,1.4
30021,3.5
30023,4.9
30025,0.0
30027,3.5
30029,3.0
30031,2.3
30033,0.0
30035,9.3
30037,1.5
30039,6.4
30041,4.2
30043,2.8
30045,1.5
30047,6.4
30049,3.5
30051,0.2
30053,5.4
30055,2.7
30057,1.5
30059,0.1
30061,4.0
30063,4.5
30065,5.9
30067,2.9
30069,0.9
30071,3.4
30073,6.5
30075,1.2
30077,4.1
30079,1.2
30081,3.3
30083,3.8
30085,8.4
30087,9.0
30089,4.2
30091,2.5
30093,4.3
30095,3.3
30097,2.2
30099,1.5
30101,4.0
30103,1.1
30105,3.3
30107,0.9
30109,0.0
30111,3.4
31001,2.3
31003,1.7
31005,0.0
31007,3.6
31009,1.0
31011,1.4
31013,1.6
31015,2.5
31017,0.8
31019,2.8
31021,2.6
31023,1.2
31025,2.0
31027,1.5
31029,1.7
31031,0.4
31033,2.9
31035,1.5
31037,1.5
31039,2.1
31041,2.9
31043,4.3
31045,1.5
31047,1.9
31049,3.3
31051,2.3
31053,3.1
31055,3.8
31057,0.3
31059,0.6
31061,3.3
31063,3.8
31065,1.2
31067,1.5
31069,2.6
31071,1.8
31073,1.9
31075,2.2
31077,2.3
31079,3.3
31081,3.4
31083,1.6
31085,0.3
31087,2.1
31089,1.4
31091,3.9
31093,3.4
31095,1.1
31097,2.0
31099,1.4
31101,2.0
31103,1.4
31105,0.2
31107,3.9
31109,3.2
31111,3.1
31113,0.7
31115,0.0
31117,0.0
31119,2.5
31121,0.6
31123,4.1
31125,3.0
31127,6.3
31129,1.0
31131,2.8
31133,1.7
31135,1.6
31137,1.2
31139,2.2
31141,2.6
31143,1.5
31145,1.5
31147,4.5
31149,1.2
31151,2.7
31153,2.4
31155,2.1
31157,3.4
31159,1.9
31161,1.3
31163,4.6
31165,4.1
31167,0.4
31169,3.0
31171,1.1
31173,10.3
31175,0.4
31177,1.9
31179,3.4
31181,0.7
31183,1.7
31185,2.1
32001,6.5
32003,7.4
32005,3.2
32007,4.3
32009,2.8
32011,0.0
32013,5.4
32015,9.2
32017,1.7
32019,6.3
32021,5.2
32023,9.5
32027,6.0
32029,6.8
32031,5.0
32033,4.9
32510,4.1
33001,2.5
33003,5.3
33005,3.3
33007,4.1
33009,2.9
33011,3.3
33013,3.1
33015,3.5
33017,3.6
33019,2.3
34001,8.1
34003,5.5
34005,5.1
34007,6.9
34009,6.0
34011,7.5
34013,8.3
34015,5.2
34017,5.9
34019,4.6
34021,6.1
34023,6.4
34025,5.2
34027,5.2
34029,5.5
34031,7.8
34033,7.5
34035,4.8
34037,5.3
34039,6.3
34041,5.6
35001,5.3
35003,7.1
35005,5.6
